c_personid,Rank,Friend,Enemy,Lindex,c_index_year,c_birthyear,c_deathyear,c_death_age,c_fl_earliest_year,c_fl_ey_nh_code,c_fl_latest_year,c_choronym_code,LU,c_entry_code,Longitude,Latitude,RankD,Rank9
26816,6.5,37.82295232,0,1169,1169,1110,1175,66,0,0,0,0,12753,36,120.556442,27.675718,13,6
46802,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8
407167,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7
1540,5.5,76.71102259,0,1098,1098,0,0,0,1086,530,1099,0,12587,165,114.8654938,30.44698906,11,5
22772,8,0,0,1217,1217,0,0,0,0,0,0,0,12824,36,117.202271,28.287901,16,8
52440,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7
403906,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
18978,4.5,73.42666179,0,1184,1184,0,0,0,0,0,0,0,13284,36,104.197617,31.342484,9,4
25039,7.5,0,0,1103,1103,0,0,0,0,0,0,0,0,0,0,0,15,7
39160,5.5,71.73889686,0,985,985,926,986,61,0,0,0,0,11371,0,112.38263,34.665276,11,5
386498,3,0,0,1265,1265,0,0,0,0,0,0,0,0,94,0,0,6,3
52005,8,0,0,0,0,0,0,0,0,0,0,0,13425,0,104.8892,28.37927,16,8
99904,7,0,0,1145,0,0,0,0,1175,0,1181,0,0,0,0,0,14,7
25136,9,84.90923973,0,1185,1185,0,0,0,0,0,0,0,0,0,0,0,18,9
386629,4.5,0,0,1261,1261,0,0,0,0,0,0,0,12753,0,120.071625,29.300087,9,4
38085,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
23268,7.5,0,0,1133,1133,0,0,0,0,0,0,0,13867,36,119.321577,26.073954,15,7
2118,3,0,0,1045,1045,0,0,0,0,0,0,0,12753,36,120.578262,30.004515,6,3
52696,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5
95808,5,0,0,1010,0,0,0,0,1040,0,1040,0,0,0,0,0,10,5
42222,7,0,0,1022,1022,0,0,0,992,511,0,0,11141,36,119.94828,36.788235,14,7
